prompt,A,B,C,D,E,answer,prediction,C1,C2,C3
What is the Heisenberg uncertainty principle and how does it relate to angular momentum in quantum mechanics?,"The Heisenberg uncertainty principle states that the axis of rotation of a quantum particle is undefined, and that quantum particles possess a type of non-orbital angular momentum called ""spin"". This is because angular momentum, like other quantities in quantum mechanics, is expressed as a tensorial operator in relativistic quantum mechanics.","The Heisenberg uncertainty principle states that the total angular momentum of a system of particles is equal to the sum of the individual particle angular momenta, and that the centre of mass is for the system. This is because angular momentum, like other quantities in quantum mechanics, is expressed as an operator with quantized eigenvalues.","The Heisenberg uncertainty principle states that the total angular momentum of a system of particles is subject to quantization, and that the individual particle angular momenta are expressed as operators. This is because angular momentum, like other quantities in quantum mechanics, is subject to the Heisenberg uncertainty principle.","The Heisenberg uncertainty principle states that the axis of rotation of a quantum particle is undefined, and that at any given time, only one projection of angular momentum can be measured with definite precision, while the other two remain uncertain. This is because angular momentum, like other quantities in quantum mechanics, is subject to quantization and expressed as an operator with quantized eigenvalues.","The Heisenberg uncertainty principle states that at any given time, only one projection of angular momentum can be measured with definite precision, while the other two remain uncertain. This is because angular momentum, like other quantities in quantum mechanics, is expressed as an operator with quantized eigenvalues.",E,D,"The Heisenberg's uncertainty principle states that when two complementary measurements are made, there is a limit to the product of their accuracy. As an example, if one measures the position with an accuracy of and the momentum with an accuracy of , then 
In de Broglie–Bohm theory, there is always a matter of fact about the position and momentum of a particle. Each particle has a well-defined trajectory, as well as a wavefunction. Observers have limited knowledge as to what this trajectory is (and thus of the position and momentum). ","As in classical mechanics, successive observations of the particles' positions refine the experimenter's knowledge of the particles' initial conditions. Thus, with succeeding observations, the initial conditions become more and more restricted. This formalism is consistent with the normal use of the Schrödinger equation.
For the derivation of the uncertainty relation, see Heisenberg uncertainty principle, noting that this article describes the principle from the viewpoint of the Copenhagen interpretation.
Quantum entanglement, Einstein–Podolsky–Rosen paradox, Bell's theorem, and nonlocality 
","It is the lack of knowledge of the particle's trajectory that accounts for the uncertainty relation. What one can know about a particle at any given time is described by the wavefunction. Since the uncertainty relation can be derived from the wavefunction in other interpretations of quantum mechanics, it can be likewise derived (in the epistemic sense mentioned above) on the de Broglie–Bohm theory.
To put the statement differently, the particles' positions are only known statistically. "
What color is the Main Line on the NJ Transit system maps?,Purple.,Blue.,Green.,Red.,Yellow.,E,A,"The port authority in Derry, Northern Ireland uses a dual gauge line in a street level network to transfer freight. Two of the city's stations are on a narrow gauge. The other two city stations are on broad gauge.
United States
In Los Angeles, the previously operating Los Angeles Railway and Pacific Electric Railway ran on dual gauge track on some downtown streets.
From 1880 to 1902, the Burlington, Cedar Rapids and Northern Railway (standard gauge) and the Burlington and Northwestern Railway (narrow gauge) shared a dual gauge mainline from Burlington, Iowa to Mediapolis, to the north.
","For example, the MTR (Mass Transit Railway) in Hong Kong Electric multiple units (EMU) may run on Kowloon-Canton Railway (KCR) tracks but would need a locomotive or a KCR EMU pulling due to the difference in electrification voltages. Dual voltage and frequency EMUs are the other solution.
Model railways / miniature ridable railways
Tillig makes dual gauge model railway track.
Many ridable miniature railways utilise dual gauge, often with models of the same prototype built to different scales to match the gauge.
Dual gauge railways by nation
Selected examples in alphabetical order.
Australia
","The early operational years of the State Belt Railroad in San Francisco featured dual gauge tracks to accommodate regional railroads of the time, which interchanged via ferry.
Until 1941, the Colorado and Southern Railway used both standard and narrow gauge tracks, and had a dual gauge line between Denver and Golden, Colorado.
Until the 1960s, the Denver and Rio Grande Western Railroad's Alamosa–Durango Line from Alamosa, Colorado to Antonito was dual gauge.
Previously, in its Mount Union, Pennsylvania yard, the East Broad Top Railroad and Coal Company used dual gauge tracks.
"
What is Jan Tony Soren Rickardsson famous for in the world of motorcycle speedway?,Jan Tony Soren Rickardsson is famous for winning four Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning three Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning seven Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning five Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning six Speedway World Championship titles in 15 attempts.,E,A,"The truth is said to be tied to the ""Great Fetish"" preserved on a forbidden island by a society of witches. When protagonist Marko Prokopiu is blown to the island in an experimental balloon, the Great Fetish is discovered to consist of microcards preserving both the scientific knowledge and literature of Earth.
Star Carrier: Earth Strike (2010), novel by William H. Keith, Jr. writing as Ian Douglas. ","The companies are known for low-cost, basic passenger services and underwater mining tours, respectively. In 2251, Archaeo Tours was created to comfortably transport tourists to worlds where scientific research is underway. Archaeo Tours is also known for their excellent science education facilities aboard their passenger liners.
Beta Tauri (El Nath)
""The Galileo Seven"" (1967), episode of Star Trek: The Original Series written by Oliver Crawford and S. Bar-David. Mr. ","She has the speed and the lift to deliver a double load of starship troopers to just about anywhere in fighting trim: ""Under Cherenkov drive she cranks Mike 400 or better—say Sol to Capella, forty-six light-years, in under six weeks."" From the numbers given by Heinlein Mike 1 is intended to be equal to the speed of light in the vacuum of space—just as Mach 1 equals the speed of sound in the atmosphere of the Earth (at STP).
"
What happens to excess base metal as a solution cools from the upper transformation temperature towards an insoluble state?,"The excess base metal will often solidify, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.","The excess base metal will often crystallize-out, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.","The excess base metal will often dissolve, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.","The excess base metal will often liquefy, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.","The excess base metal will often evaporate, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.",B,A,"Although the elements of an alloy usually must be soluble in the liquid state, they may not always be soluble in the solid state. If the metals remain soluble when solid, the alloy forms a solid solution, becoming a homogeneous structure consisting of identical crystals, called a phase. If as the mixture cools the constituents become insoluble, they may separate to form two or more different types of crystals, creating a heterogeneous microstructure of different phases, some with more of one constituent than the other. However, in other alloys, the insoluble elements may not separate until after crystallization occurs. ","While the high strength of steel results when diffusion and precipitation is prevented (forming martensite), most heat-treatable alloys are precipitation hardening alloys, that depend on the diffusion of alloying elements to achieve their strength. When heated to form a solution and then cooled quickly, these alloys become much softer than normal, during the diffusionless transformation, but then harden as they age. The solutes in these alloys will precipitate over time, forming intermetallic phases, which are difficult to discern from the base metal. ","By adding chromium to steel, its resistance to corrosion can be enhanced, creating stainless steel, while adding silicon will alter its electrical characteristics, producing silicon steel.
Like oil and water, a molten metal may not always mix with another element. For example, pure iron is almost completely insoluble with copper. Even when the constituents are soluble, each will usually have a saturation point, beyond which no more of the constituent can be added. Iron, for example, can hold a maximum of 6.67% carbon. "
"What is the location of Qianjin District in the city of Jiamusi, Heilongjiang, People's Republic of China?","Qianjin District is located in the central part of Jiamusi, away from the Songhua River.","Qianjin District is located in a different city, not Jiamusi.",Qianjin District is located on the northern (left) bank of the Songhua River.,Qianjin District is located on an island in the Songhua River.,Qianjin District is located on the southern (right) bank of the Songhua River.,E,B,"97 million people in 22 provinces, municipalities and regions, including the southern and central provinces of Zhejiang, Fujian, Jiangxi, Hubei, Hunan, Guangdong, Guangxi, Chongqing Municipality, Sichuan and Guizhou were affected, while at least 4.66 million people were evacuated because of the risk of flooding and landslides in the latter half of June.
May 16 – June 1
","Schools across the area were closed, and Premier Wen asked local governments to ensure safe transportation, continued food supplies, and continued agricultural production. Continued snowstorms were forecast for the city of Beijing and the province of Inner Mongolia. It was also predicted on January 7 for snow to reach the provinces of Jiangsu, Anhui, Henan and Hubei on January 9 according to China National Radio. One person was killed in Xinjiang Autonomous Region as a result of the storm. Emergency services handed out extra cattle fodder in Tibet.
","The People's Liberation Army (PLA) was praised for sending contingents of soldiers across the country to any location where a disaster had struck.
Both the Xinjiang region in the northwest and Yunnan province in the south were affected by flooding. In all, flood waters inundated parts of at least 24 of China's 34 provinces and regions on July 20. By July 20, the Yangtze River at the Three Gorges Dam experienced its highest river discharge in 130 years, and the highest since the dam was built. "
"What is the current use of The Corn Exchange in Kettering, Northamptonshire?",The Corn Exchange is currently being used as a community center for local events and gatherings.,The Corn Exchange is currently accommodating a restaurant.,The Corn Exchange is currently serving as a museum showcasing the history of Kettering.,The Corn Exchange is currently functioning as a theater hosting various performances and plays.,The Corn Exchange is currently operating as a library providing access to books and resources for the residents.,B,C,"Kemoca Park, Montmartre, Saskatchewan — KEndal, MOtmartre, and CAdiac; three communities the park serves
Mohonasen High School, Rotterdam, New York — MOHawk, ONOndaga, SENeca (with an A replacing the last O), three tribes that once lived in the Rotterdam area
Odhill railway station, Manitoba — O. D. HILL, K.C.
Rawebb railway station, Manitoba — RAlph WEBB, politician
","BUckley, Samuel COulter, John B. DAvid
Cabarton, Idaho — C. A. BARTON, official of the Boise Payette Lumber Company (a former company town of that company)
Cadams, Nebraska — C. ADAMS, local banker
Chaney, Oklahoma — six family names: Carey, Hull, Adams, Nichols, Edmonds, Yarnold
Charlo, Port Elizabeth, South Africa — CHARles LOvemore, landowner
","Norco, Louisiana — New Orleans Refinery COmpany
Norco, Saskatchewan — NORanda COmpany
Norpak, North Dakota — NORthern PACific Railroad (with a K replacing the C)
Nyando, New York — New York AND Ottawa Railway, former station on the line; now known as Rooseveltown
Ocapos, Arizona — A backwards acronym for SOuthern PAcific COmpany (i.e. Southern Pacific Railroad)
Ohaton, Alberta — Osler, HAmmond, and NanTON, Winnipeg financial firm
"
Who is the current owner of the San Pedro Valley Railroad?,"St. David, Arizona.",Ironhorse Resources.,The Union Pacific Railroad (UP).,Paul Spur.,None of the above.,B,E,"The truth is said to be tied to the ""Great Fetish"" preserved on a forbidden island by a society of witches. When protagonist Marko Prokopiu is blown to the island in an experimental balloon, the Great Fetish is discovered to consist of microcards preserving both the scientific knowledge and literature of Earth.
Star Carrier: Earth Strike (2010), novel by William H. Keith, Jr. writing as Ian Douglas. ","Captain Íñigo Cortés, one of the survivors of the expedition, takes the reins of his ship to guide the rest of the colonists, who are not resigned to returning to Earth.
Kruger 60 (DO Cephei)
Downbelow Station (1981) and other Alliance-Union universe works, novels by C. J. Cherryh. Kruger 60 is the site of Venture Station, one of the stations on the ""Great Circle"" chain of space stations that terminates at Pell Station in the Tau Ceti system.
","In the aftermath of the Civil War, protagonist Enoch Wallace is the secretly designated administrator of a way station for interstellar travel. He uses a mathematical model developed on Mizar to predict that the Earth will someday go to war and destroy itself in a nuclear holocaust.
Star King (1964), ""Demon Princes"" novel by Jack Vance. Mizar VI is home to the Tunkers, a religious sect who are ""ascetic, austere, devout to an astonishing degree. "
"Where is the district headquarters of Lohit located in Arunachal Pradesh, India?",Papum Pare,Tezu,It is unknown,Changlang,None of the above,B,C,"However, there are exceptions to this two/three rule in both lists, so it is more of a guideline than a hard-and-fast rule.
Regions
Countries 
Pakistan — Punjab, Afghania, Kashmir, Sindh, (I for pronunciation) and BaluchisTAN, the northern provinces of British India. The name also means Land of the Pure in Urdu and Persian.
Provinces 
Malampa Province, Vanuatu — islands that make up the province: MALakula, AMbrym, PAama
","Molanosa, Saskatchewan — MOntreal LAke, NOrthern SAskatchewan
Nalcrest, Florida — National Association of Letter Carriers plus REST, retirement community for postmen
Nemato, Port Alfred, South Africa — NElson MAndela TOwnship
Noida, Uttar Pradesh — New Okhla Industrial Development Authority
NOLA — A common nickname for New Orleans, LouisianA
Okarche, Oklahoma — OKlahoma ARapaho CHEyenne
","Barholis No. 746 — school near Glenbain, Saskatchewan; early settlers: BARnes, HOLmes and InnIS
Elanco (commonly used name for Eastern Lancaster County School District) — Eastern LANcaster COunty
6489 Golevka, asteroid named for three observatories that studied it for the Yarkovski effect — GOLdstone Observatory in California; EVpatoria Planetary Radar, Yevpatoria, Ukraine; KAshima Space Technology Center, located in Kashima, Ibaraki, Japan
"
What was the degree earned by Antonio J. Vicens-Gonzalez from the University of Puerto Rico?,B.S-Engineering,J.D-Law,Ph.D-Physics,M.A-Economics,B.A-Management,E,B,"disagreement over whether these are the initials of the parents or the children
Maljamar, New Mexico — MALcolm, JAnet, MARgaret, children of William Mitchell, oil operator
Marenisco Township, Michigan — either MARy ENId SCOtt, or MAry RElief NIles SCOtt, the wife of Emmet H. Scott, a timber producer
Marietta, Ohio — MARIe AntoinETTe plus A
Marmarth, North Dakota — MARgaret MARTHa Fitch, very young granddaughter of A. J. ","Arjay, Kentucky — R. J. Asher, coal operator
Armelgra, Alberta — ARthur MELville GRAce, engineer for the Canadian Pacific Railway
Arvida, Quebec — ARthur VIning DAvis, president of Aluminum Company of Canada
Awe, Kentucky — Anthony Wayne Everman, first postmaster
Bahama, North Carolina — three leading families of the community: BAll, HArris, and MAngum 
Balmorhea, Texas — BALcolm, MOrrow, RHEA, town founders
","Veeocee Mountain, British Columbia — Varsity Outdoor Club of the University of British Columbia
Others 
Alwinsal — potash mine at Guernsey, Saskatchewan named after a French–German consortium that invested: 1) Mines Domanials de Potasse d'ALsace (French) 2) WINtersall AG (German) 3) SALzfuther AG (German)
Amdewanda No. 630 — school near Eston, Saskatchewan; first trustees: Clyde AMey, Sid DEan, Robert WAmsley plus NDA for alliteration
"
"What notable recognition did Sergei Yutkevich receive for directing the film ""Lenin in Poland""?",Sergei Yutkevich received an honorary mention for his direction at the 1966 Cannes Film Festival.,Sergei Yutkevich received the Palme d'Or for Best Film at the 1966 Cannes Film Festival.,Sergei Yutkevich received the Best Director award at the 1966 Cannes Film Festival.,Sergei Yutkevich received the Golden Bear for Best Director at the 1966 Cannes Film Festival.,"Sergei Yutkevich was nominated for Best Director at the 1966 Cannes Film Festival, but did not win.",C,A,"Poka bezumstvuyet mechta/While the Dream Is Raving (Soviet 1978) - Sovscope 70
Yaroslavna, koroleva Frantsii/Yaroslavna, Queen of France (Soviet 1978) - Sovscope 70 
Veroy i pravdoy/With Faith and Truth (Soviet 1979) - Sovscope 70
Takeoff (Soviet 1979) - Sovscope 70
","Retsept yeyo molodosti/Recipe of Her Youth (Soviet 1983) - Sovscope 70
Skorost/Speed (Soviet 1983) - Sovscope 70
Uchenik lekarya/The Doctor's Pupil (Soviet 1983) - Stereo 70 (3D)
Blistayushchiy mir/The Sparkling World (Soviet 1984) - Sovscope 70
Geroy eyo romana/Hero of Her Romance (Soviet 1984) - Sovscope 70
","Syuzhet dlya nebolshogo rasskaza/Subject for a Short Story (Soviet 1969) - Sovscope 70
The Flight (Soviet 1970) - Sovscope 70
Signale – Ein Weltraumabenteuer (East Germany/Poland 1970) – DEFA-70
Wladimir Iljitsch Uljanow – Lenin (East Germany 1970) – DEFA-70
Korol manezha (Soviet 1970) - Sovscope 70
"
"What was the composition of T-ara N4, and how many extended plays did they release?","T-ara N4 was composed of Eunjung, Hyomin, Jiyeon, and Areum until her departure in June 2013. They released one extended play.","T-ara N4 was composed of Eunjung, Hyomin, Jiyeon, and Areum until her departure in July 2013. They released one extended play.","T-ara N4 was composed of Eunjung, Hyomin, Jiyeon, and Areum until her departure in June 2013. They released two extended plays.","T-ara N4 was composed of Eunjung, Hyomin, Jiyeon, and Areum until her departure in July 2013. They released three extended plays.","T-ara N4 was composed of Eunjung, Hyomin, Jiyeon, and Areum until her departure in July 2013. They released two extended plays.",B,C,"The companies are known for low-cost, basic passenger services and underwater mining tours, respectively. In 2251, Archaeo Tours was created to comfortably transport tourists to worlds where scientific research is underway. Archaeo Tours is also known for their excellent science education facilities aboard their passenger liners.
Beta Tauri (El Nath)
""The Galileo Seven"" (1967), episode of Star Trek: The Original Series written by Oliver Crawford and S. Bar-David. Mr. ","All that remains of these ancient aliens is a mysterious terraforming machine called the Tresuunak, which has been scattered throughout the solar system and must be pieced together over the course of the campaign. TRAPPIST-1 can be seen in the background while players terraform its orbiting planets.
Unukalhai (Alpha Serpentis)
Tékumel (~1940– ), novels and games by M. A. R. Barker. Unukalhai is the home sun of the Hegléth, or Swamp Folk.
","The Magistracy was formed by defectors and soldiers from forces attached to the defense forces of Andurien.
Frontier: Elite II (1993) and Frontier: First Encounters (1995), computer games written by David Braben et al. Canopus has colonies dedicated to mining, including two dwarf planets that share the name Camp Lawrence.
Shin Megami Tensei: Devil Survivor 2 Record Breaker (2015), the remake of the SRPG Devil Survivor 2 by Atlus. It features Canopus as the final boss for the triangulum arc.
"
Which railway line did Wrington railway station belong to?,"Wrington railway station was a station at Wrington on the Cheddar Valley Railway, which ran from Yatton to Cheddar, in Somerset, England.","Wrington railway station was a station at Wrington on the Mendip Hills Railway, which ran from Blagdon to Cheddar, in Somerset, England.","Wrington railway station was a station at Wrington on the Yatton to Witham Line, which ran from Yatton to Witham, in Somerset, England.","Wrington railway station was a station at Wrington on the Wrington and Lulsgate Plateau Light Railway, which ran from Wrington to Lulsgate Plateau, in Somerset, England.","Wrington railway station was a station at Wrington on the Wrington Vale Light Railway, which ran from Congresbury to Blagdon, in Somerset, England.",E,A,"Freight trains to the Port of Brisbane utilise the dual gauge Fisherman Islands line that runs parallel to the Cleveland railway line from Park Road to Lindum. Passenger trains utilise the dual gauge section of the Beenleigh railway line running parallel to the electric suburban narrow gauge of the Queensland Rail City network line over the Merivale Bridge into Platforms 2 and 3 at Roma Street Station. This is used by standard gauge interstate NSW TrainLink XPT services to Sydney. In 2012, a dual gauge line was installed between Acacia Ridge and Bromelton to serve a new freight hub at Bromelton.
","The track was owned by the Nederlandsch-Indische Spoorweg Maatschappij, a private company, which in 1867 had built the gauge line. The third rail was installed to allow passengers and goods traveling over the gauge Staatsspoorweg (state railway) a direct connection. At a later date, the government constructed new tracks to allow greater capacity and higher speeds. ","In Victoria, there are sections of and dual gauge track between Southern Cross station and West Footscray, Sunshine and Newport, Albion and Jacana, North Geelong and Gheringhap, Maryborough and Dunolly, and in various goods yards and industrial sidings. Until 2008, there was dual gauge line between Wodonga and Bandiana.
At Albury railway station, New South Wales there was and dual gauge line until 2011. There is dual gauge within Tocumwal railway station but in 1988, the standard gauge component was put out of use.
"
What does the Wikipedia excerpt say about the location of Cwmffrwd?,"It is a village in Powys, Wales, located around two miles (3.2 km) west of Carmarthen.","It is a village in Carmarthenshire, Wales, located around two miles (3.2 km) south of Carmarthen.","It is a village in Gwynedd, Wales, located around two miles (3.2 km) east of Carmarthen.","It is a village in Ceredigion, Wales, located around two miles (3.2 km) north of Carmarthen.","It is a village in Pembrokeshire, Wales, located around two miles (3.2 km) northwest of Carmarthen.",B,A,"The truth is said to be tied to the ""Great Fetish"" preserved on a forbidden island by a society of witches. When protagonist Marko Prokopiu is blown to the island in an experimental balloon, the Great Fetish is discovered to consist of microcards preserving both the scientific knowledge and literature of Earth.
Star Carrier: Earth Strike (2010), novel by William H. Keith, Jr. writing as Ian Douglas. ","The surviving planetside crew counterattack and destroy Vaal with phasers, leaving the native populace sadder but wiser, having been force-fed the eponymous apple of knowledge of good and evil (Gen. 2:16–17).
Gamma Ursae Minoris (Pherkad)
Pherkad (spelled as Pherkard) features in Cthulhu Mythos, in the short story ""The Thing in the Library"", by Crispin Burnham and E.P. Berglund. ","The Among Us level, ""MIRA HQ"" and the recurring organization ""MIRA"" could be a reference to this. Although, this is yet to be confirmed by the game's developers.
Mirach (Beta Andromedae)
Tékumel (~1940–), novels and games by M. A. R. Barker. Mirach is the home sun of the Ninín, or Little Ones.
Mizar (Zeta Ursae Majoris)
Way Station (1963), novel by Clifford D. Simak. "
What is the significance of the Aljezur River in the Portuguese region of the Algarve?,The Aljezur River played a crucial role in the historical defense of the Algarve region against invasions by sea.,The Aljezur River is a significant shipping route for transporting goods to and from the Algarve region.,"The Aljezur River is known for its abundance of salmon, making it a popular fishing spot for locals and tourists.","The Aljezur River is renowned for its unique rock formations along its banks, attracting rock climbers from around the world.","The Aljezur River is a major source of freshwater in the Algarve, providing drinking water to nearby villages and towns.",A,D,"During the flood, a channel formed across the Strait of Gibraltar, which starts at the Camarinal Sill in the Strait of Gibraltar, splits around the Vizconde de Eza high of the Alboran Sea and eventually connects with the Alboran Channel before splitting into several branches that end in the Algero-Balear basin. The channel has a U-like shape in its starting region, which is consistent with its formation during a giant flood. The sector of the Zanclean channel that passes through the Camarinal Sill may have a different origin, however.
","such flow rates are about a thousand times larger than the discharge of the Amazon River and ten times as much as the Missoula Floods. This flood would have descended a relatively gentle ramp into the Mediterranean basin, not as a giant waterfall. Later simulations using more explicit geography constrain the flow to about 100 sverdrup, which is about . They further indicate the formation of large gyres in the Alboran Sea during the flooding and that the flood eroded the Camarinal Sill at a rate of . ","The exact size of the flood is dependent on the pre-flood water levels in the Mediterranean and higher water levels there would result in a much smaller flood.
The flood affected only the Western Mediterranean at first, because the Sicily Sill (located at the present Straits of Sicily) formed a barrier separating its basin from the Eastern Mediterranean basin that probably overflowed through the Noto Canyon across the Malta Escarpment; in addition a sill may have existed in the eastern Alboran Sea at this time. "
"What was the peak position of the song ""One Tony Lockett"" on the music charts?",#38,Data not available,#1,#5,Not in the Top 40,A,B,"This same process was also used for the 45 single of the band's song ""One Step Ahead"" from the album Waiata.
The 1981 A&M Records LP of Styx's album Paradise Theatre had a laser-etched design of the band's logo on side two.
The 1990 Mute XL12Bong18 release from Depeche Mode features ""Enjoy the Silence"" The Quad: Final Mix on side A and the etched image of a rose and a hand-drawn ""DM"" on side B.
","A 1950s RCA Victor 45 rpm single by The Fontane Sisters, ""The Fortune Teller Song"" offered a song with four different ""fortunes"" as endings. Due to the space consumed by the multiple grooves, the song itself played for only about one minute. In the 1960s, promoter George Garabedian of Mark 56 Records created a ""Magic Record"" which would randomly play a tune by Arthur Lyman, The Marathons' novelty song ""Peanut Butter,"" or an imitation Tijuana Brass number. ","Side 3 played from the inside out and side 5 was on a 7-inch single. The side consisted of one recorded groove in the center of the record and was a perfectly timed loop of the music of a non-album song called ""All the Shit U Do.""
An example of a live album with a locked groove is Eagles Live: The applause at the end of side 4 would continue into the locked groove, rather than fading out like on the other sides.
"
Which city is home to the historic house known as 6 King Street?,Bristol,London,Manchester,Cambridge,Edinburgh,A,B,"Kemoca Park, Montmartre, Saskatchewan — KEndal, MOtmartre, and CAdiac; three communities the park serves
Mohonasen High School, Rotterdam, New York — MOHawk, ONOndaga, SENeca (with an A replacing the last O), three tribes that once lived in the Rotterdam area
Odhill railway station, Manitoba — O. D. HILL, K.C.
Rawebb railway station, Manitoba — RAlph WEBB, politician
","Wamac, Illinois — WAshington, MArion, and Clinton Counties
Wyco, West Virginia — WYoming COunty
Neighborhoods 
Many of these names were the result of neighborhood rebranding, first in New York, and then in other cities. The names were mostly coined in imitation of Soho in Manhattan.
New York
DoBro — DOwntown BROoklyn
Dumbo, Brooklyn — Down Under the Manhattan Bridge Overpass
FiDi — FInancial DIstrict
NoHo, Manhattan — NOrth of HOuston Street
","Kenora, Ontario — three predecessor communities: KEewatin, NOrman and RAt Portage
Lockridge, Oklahoma — Logan, Oklahoma, Canadian, and Kingfisher Counties plus RIDGE
Macy, Nebraska — (O)MAha AgenCY (location of Indian agency to the Maha or Omaha people)
Mandaree, North Dakota — MANdan, HiDAtsa and REE, the three tribes whose reservation the place is on. (Ree is another name for the Arikara)
"
What was the result of the European tour to promote Gianna Nannini's album Puzzle?,The album Puzzle went platinum in Italy.,The album Tutto Live was released in 1985.,"The album Puzzle won the Festivalbar, Vota la Voce, and a Gold Telegatto Award.","The album Puzzle topped the charts in Italy, Switzerland, and Austria.","The music video for the first single from the album, ""Fotoromanza,"" was directed by Michelangelo Antonioni.",D,C,"The truth is said to be tied to the ""Great Fetish"" preserved on a forbidden island by a society of witches. When protagonist Marko Prokopiu is blown to the island in an experimental balloon, the Great Fetish is discovered to consist of microcards preserving both the scientific knowledge and literature of Earth.
Star Carrier: Earth Strike (2010), novel by William H. Keith, Jr. writing as Ian Douglas. ","In the second and third (not yet published) parts of the trilogy he brings an ambassador from Groomby to Earth and is arrested by the tax service.
HD 102365
The couch gag for Bart's Not Dead in the television series The Simpsons has an alien family sitting on a couch in this star system. The adult male alien asks why Homer sounds like Walter Matthau.
HD 182681
Rise: The Vieneo Province (2006–), online virtual world developed and published by Unistellar Industries, LLC. ","Worried about the future of this new mission, the sponsors of the Antares project call upon Kim to accompany the first colonists, offering legal amnesty for Alexa and Mark in exchange.
Analogue: A Hate Story (2012), visual novel/interactive game by Christine Love, set in the far future (compare her near-future prequel Digital: A Love Story). The player character has the task of investigating the logs of the lost generation colony ship Mugunghwa, which has been found drifting lifelessly around Antares' secondary companion star, Antares B. "
What is Kostelany nad Moravou known for?,Kostelany nad Moravou is a popular tourist destination known for its beautiful hiking trails and picturesque landscapes.,"Kostelany nad Moravou is a historical site, home to ancient ruins and artifacts from the Roman Empire.",Kostelany nad Moravou is a hamlet known for its traditional folklore and local customs.,"Kostelany nad Moravou is the birthplace of a famous Czech composer, who is widely recognized for his contributions to classical music.","Kostelany nad Moravou is a renowned cultural center, hosting annual music festivals and art exhibitions.",C,D,"Barholis No. 746 — school near Glenbain, Saskatchewan; early settlers: BARnes, HOLmes and InnIS
Elanco (commonly used name for Eastern Lancaster County School District) — Eastern LANcaster COunty
6489 Golevka, asteroid named for three observatories that studied it for the Yarkovski effect — GOLdstone Observatory in California; EVpatoria Planetary Radar, Yevpatoria, Ukraine; KAshima Space Technology Center, located in Kashima, Ibaraki, Japan
","Kemoca Park, Montmartre, Saskatchewan — KEndal, MOtmartre, and CAdiac; three communities the park serves
Mohonasen High School, Rotterdam, New York — MOHawk, ONOndaga, SENeca (with an A replacing the last O), three tribes that once lived in the Rotterdam area
Odhill railway station, Manitoba — O. D. HILL, K.C.
Rawebb railway station, Manitoba — RAlph WEBB, politician
","Elizabeth Underhill or Ellen Cleghorn; Mary Weare and Martha Weare; Adeline Swain; Rebecca Smith; Sarah Reynolds.
Lookeba, Oklahoma — LOwe, KElly and BAker, town founders (with an extra O)
Mabana, Washington — MABel ANderson, daughter of an early settler, plus A for pronunciation
Mabscott, West Virginia — MABel SCOTT
Maleb, Alberta — initials of the Bowen family: Morley, Amy, Lorne, Elizabeth, Bowen; "
Which broadcasting stations are involved in the production of Musikantenstadl?,Österreichischer Rundfunk and Schweizer Radio und Fernsehen,"Österreichischer Rundfunk, Bayerischer Rundfunk, and Schweizer Radio und Fernsehen",Bayerischer Rundfunk and Schweizer Radio und Fernsehen,Österreichischer Rundfunk and Bayerischer Rundfunk,None of the above,B,E,"An HD Radio trial began in Warsaw in 2006 in order to demonstrate the technology to local radio stations.
Puerto Rico 
WPRM FM is the first station in San Juan, Puerto Rico (part of the US) to adopt HD Radio, in April 2005. WRTU in San Juan has also commenced broadcasting in HD Radio technology in 2007.
Switzerland 
FM testing sponsored by Radio Sunshine and Ruoss AG began in Lucerne in April 2006. ","There was also concern that AM and FM stations' branding, using their current frequencies, would be lost to new channel numbers, though virtual channels such as on digital television would eliminate this. Also, several competing stations would have to share a transmitter that multiplexes them all into one ensemble with the same coverage area (though many FM stations are already diplexed in large cities such as New York). ","In September 2007 the European HD Radio Alliance (EHDRA) was formed by broadcasters and other interested groups to promote the adoption of HD Radio technology by European broadcasters, regulators and standards organizations.
France 
France began broadcasting an HD Radio signal in March 2006 and plans to multicast two or more channels. The radio stations that use IBOC HD in France are SIRTI and NRJ Group. The owner of the transmitter is Towercast. The frequency of IBOC HD radio is 88.2 MHz. "
